Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
uuid;Original;-;1;0;4029;0;3707;0;0
uuid;RD;16;1;0;3830;0.04939190866219906;3467;0.06474237928243863;NaN
uuid;GA;N/A;1;0;4029;0;3707;0;0
uuid;GA2;N/A;1;0;4029;0;3707;0;0
uuid;HC;1;1;0;3973;0.013899230578307272;3638;0.018613434043701107;NaN
uuid;HC2;N/A;1;0;4029;0;3707;0;0
uuid;HC3;N/A;1;0;4029;0;3707;0;0
uuid;HC4;N/A;1;0;4029;0;3707;0;0
uuid;HC5;N/A;1;0;4029;0;3707;0;0
uuid;HC52;N/A;1;0;4029;0;3707;0;0
